station,degree,degree_centrality,closeness_centrality,betweenness_centrality,betweenness_phase1,pagerank,clustering_coefficient,is_articulation_point,zone,lines,is_interchange,eigenvector_centrality
Challegatta,1,0.0122,0.0458,0.0,0.0,0.0077,0,False,West Bengaluru,Purple Line,False,0.0002
Kengeri,2,0.0244,0.048,0.0244,0.0299,0.014,0,True,West Bengaluru,Purple Line,False,0.0004
Kengeri Bus Terminal,2,0.0244,0.0503,0.0482,0.0588,0.0131,0,True,West Bengaluru,Purple Line,False,0.0008
Pattanagere,2,0.0244,0.0528,0.0714,0.0868,0.0126,0,True,West Bengaluru,Purple Line,False,0.0014
Jnanabharathi,2,0.0244,0.0554,0.0939,0.114,0.0124,0,True,West Bengaluru,Purple Line,False,0.0024
Rajarajeshwari Nagar,2,0.0244,0.0583,0.1159,0.1402,0.0122,0,True,West Bengaluru,Purple Line,False,0.0041
Nayandahalli,2,0.0244,0.0614,0.1373,0.1655,0.0121,0,True,West Bengaluru,Purple Line,False,0.0071
Mysore Road,2,0.0244,0.0648,0.1581,0.19,0.0121,0,True,West Bengaluru,Purple Line,False,0.0123
Deepanjali Nagar,2,0.0244,0.0684,0.1783,0.2135,0.012,0,True,West Bengaluru,Purple Line,False,0.0213
Attiguppe,2,0.0244,0.0723,0.1978,0.2361,0.012,0,True,West Bengaluru,Purple Line,False,0.037
Vijayanagar,2,0.0244,0.0766,0.2168,0.2578,0.0119,0,True,West Bengaluru,Purple Line,False,0.064
Hosahalli,2,0.0244,0.0812,0.2352,0.2786,0.0118,0,True,Central West,Purple Line,False,0.1109
Magadi Road,2,0.0244,0.0862,0.2529,0.2985,0.0115,0,True,Central West,Purple Line,False,0.1922
Krantivira Sangolli Rayanna Railway Station,2,0.0244,0.0917,0.2701,0.3175,0.0111,0,True,Central Bengaluru,Purple Line,False,0.3329
Nadaprabhu Kempegowda Station Majestic,4,0.0488,0.0977,0.7359,0.7526,0.0206,0,True,Central Bengaluru,Purple Line; Green Line,True,0.5766
Sir M. Visveshwaraya Central College,2,0.0244,0.0934,0.3857,0.4369,0.0111,0,True,Central Bengaluru,Purple Line,False,0.3329
Vidhana Soudha,2,0.0244,0.0892,0.3734,0.4251,0.0115,0,True,Central Bengaluru,Purple Line,False,0.1922
Cubbon Park,2,0.0244,0.0852,0.3604,0.4125,0.0118,0,True,Central Bengaluru,Purple Line,False,0.1109
MG Road,2,0.0244,0.0814,0.3469,0.3989,0.0119,0,True,Central Bengaluru,Purple Line,False,0.064
Trinity,2,0.0244,0.0778,0.3327,0.3844,0.012,0,True,Central Bengaluru,Purple Line,False,0.037
Halasuru,2,0.0244,0.0743,0.318,0.3691,0.012,0,True,East Bengaluru,Purple Line,False,0.0213
Indiranagar,2,0.0244,0.0711,0.3026,0.3528,0.012,0,True,East Bengaluru,Purple Line,False,0.0123
Swami Vivekananda Road,2,0.0244,0.0679,0.2867,0.3356,0.012,0,True,East Bengaluru,Purple Line,False,0.0071
Baiyappanahalli,2,0.0244,0.065,0.2701,0.3175,0.012,0,True,East Bengaluru,Purple Line,False,0.0041
Benniganahalli,2,0.0244,0.0622,0.2529,0.2985,0.012,0,True,East Bengaluru,Purple Line,False,0.0024
KR Pura (Krishnarajapuram),2,0.0244,0.0595,0.2352,0.2786,0.0121,0,True,East Bengaluru,Purple Line,False,0.0014
Singayyanapalya,2,0.0244,0.057,0.2168,0.2578,0.0121,0,True,East Bengaluru,Purple Line,False,0.0008
Garudacharpalya,2,0.0244,0.0546,0.1978,0.2361,0.0121,0,True,East Bengaluru,Purple Line,False,0.0005
Hoodi,2,0.0244,0.0523,0.1783,0.2135,0.0121,0,True,East Bengaluru,Purple Line,False,0.0003
Seetharampalya,2,0.0244,0.0502,0.1581,0.19,0.0121,0,True,Whitefield IT Hub,Purple Line,False,0.0002
Kundalahalli,2,0.0244,0.0482,0.1373,0.1655,0.0122,0,True,Whitefield IT Hub,Purple Line,False,0.0001
Nallurhalli,2,0.0244,0.0462,0.1159,0.1402,0.0122,0,True,Whitefield IT Hub,Purple Line,False,0.0001
Sri Sathya Sai Hospital,2,0.0244,0.0444,0.0939,0.114,0.0124,0,True,Whitefield IT Hub,Purple Line,False,0.0
Pattandur Agrahara,2,0.0244,0.0427,0.0714,0.0868,0.0126,0,True,Whitefield IT Hub,Purple Line,False,0.0
Kadugodi Tree Park,2,0.0244,0.041,0.0482,0.0588,0.0131,0,True,Whitefield IT Hub,Purple Line,False,0.0
Hopefarm Channasandra,2,0.0244,0.0395,0.0244,0.0299,0.014,0,True,Whitefield IT Hub,Purple Line,False,0.0
Whitefield (Kadugodi),1,0.0122,0.038,0.0,0.0,0.0077,0,False,Whitefield IT Hub,Purple Line,False,0.0
Madavara (BIEC),1,0.0122,0.0433,0.0,0.0,0.0077,0,False,North Bengaluru,Green Line,False,0.0001
Chikkabidarakallu,2,0.0244,0.0452,0.0244,0.0299,0.014,0,True,North Bengaluru,Green Line,False,0.0001
Manjunath Nagar,2,0.0244,0.0473,0.0482,0.0588,0.0131,0,True,North Bengaluru,Green Line,False,0.0003
Nagasandra,2,0.0244,0.0495,0.0714,0.0868,0.0126,0,True,North Bengaluru,Green Line,False,0.0005
Dasarahalli,2,0.0244,0.0518,0.0939,0.114,0.0124,0,True,North Bengaluru,Green Line,False,0.0008
