id,name,latitude,longitude,zone,lines,corridors,line_count,is_interchange,footfall_tier,is_phase1_operational
Challegatta,Challegatta,12.8988,77.4665,West Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Kengeri,Kengeri,12.9082,77.4764,West Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Kengeri Bus Terminal,Kengeri Bus Terminal,12.9155,77.4855,West Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Pattanagere,Pattanagere,12.9238,77.4985,West Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Jnanabharathi,Jnanabharathi,12.9345,77.5095,West Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Rajarajeshwari Nagar,Rajarajeshwari Nagar,12.9435,77.5215,West Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Nayandahalli,Nayandahalli,12.9515,77.5315,West Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Mysore Road,Mysore Road,12.9548,77.5412,West Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Deepanjali Nagar,Deepanjali Nagar,12.9575,77.5495,West Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Attiguppe,Attiguppe,12.9615,77.5585,West Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Vijayanagar,Vijayanagar,12.9645,77.5675,West Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Hosahalli,Hosahalli,12.9685,77.5755,Central West,Purple Line,East-West Corridor,1,False,Standard Residential,True
Magadi Road,Magadi Road,12.9735,77.5835,Central West,Purple Line,East-West Corridor,1,False,Standard Residential,True
Krantivira Sangolli Rayanna Railway Station,Krantivira Sangolli Rayanna Railway Station,12.9765,77.5925,Central Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Nadaprabhu Kempegowda Station Majestic,Nadaprabhu Kempegowda Station Majestic,12.9757,77.5728,Central Bengaluru,Purple Line; Green Line,East-West Corridor; North-South Corridor,2,True,Apex Mega Hub,True
Sir M. Visveshwaraya Central College,Sir M. Visveshwaraya Central College,12.9745,77.5865,Central Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Vidhana Soudha,Vidhana Soudha,12.9795,77.5925,Central Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Cubbon Park,Cubbon Park,12.9815,77.5995,Central Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
MG Road,MG Road,12.9755,77.6068,Central Bengaluru,Purple Line,East-West Corridor,1,False,High,True
Trinity,Trinity,12.9725,77.6165,Central Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Halasuru,Halasuru,12.9775,77.6255,East Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Indiranagar,Indiranagar,12.9785,77.6385,East Bengaluru,Purple Line,East-West Corridor,1,False,High,True
Swami Vivekananda Road,Swami Vivekananda Road,12.9855,77.6475,East Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Baiyappanahalli,Baiyappanahalli,12.9912,77.6525,East Bengaluru,Purple Line,East-West Corridor,1,False,High,True
Benniganahalli,Benniganahalli,12.9965,77.6625,East Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
KR Pura (Krishnarajapuram),KR Pura (Krishnarajapuram),12.9995,77.6785,East Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Singayyanapalya,Singayyanapalya,12.9965,77.6965,East Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Garudacharpalya,Garudacharpalya,12.9935,77.7085,East Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Hoodi,Hoodi,12.9915,77.7185,East Bengaluru,Purple Line,East-West Corridor,1,False,Standard Residential,True
Seetharampalya,Seetharampalya,12.9865,77.7285,Whitefield IT Hub,Purple Line,East-West Corridor,1,False,Standard Residential,True
Kundalahalli,Kundalahalli,12.9795,77.7335,Whitefield IT Hub,Purple Line,East-West Corridor,1,False,Standard Residential,True
Nallurhalli,Nallurhalli,12.9725,77.7385,Whitefield IT Hub,Purple Line,East-West Corridor,1,False,Standard Residential,True
Sri Sathya Sai Hospital,Sri Sathya Sai Hospital,12.9655,77.7445,Whitefield IT Hub,Purple Line,East-West Corridor,1,False,Standard Residential,True
Pattandur Agrahara,Pattandur Agrahara,12.9595,77.7485,Whitefield IT Hub,Purple Line,East-West Corridor,1,False,Standard Residential,True
Kadugodi Tree Park,Kadugodi Tree Park,12.9685,77.7555,Whitefield IT Hub,Purple Line,East-West Corridor,1,False,Standard Residential,True
Hopefarm Channasandra,Hopefarm Channasandra,12.9785,77.7575,Whitefield IT Hub,Purple Line,East-West Corridor,1,False,Standard Residential,True
Whitefield (Kadugodi),Whitefield (Kadugodi),12.9955,77.7615,Whitefield IT Hub,Purple Line,East-West Corridor,1,False,High,True
Madavara (BIEC),Madavara (BIEC),13.0645,77.4825,North Bengaluru,Green Line,North-South Corridor,1,False,Standard Residential,True
Chikkabidarakallu,Chikkabidarakallu,13.0565,77.4915,North Bengaluru,Green Line,North-South Corridor,1,False,Standard Residential,True
