station_1,station_2,shared_neighbors,jaccard_similarity
Challegatta,Kengeri Bus Terminal,['Kengeri'],0.5
Kadugodi Tree Park,Whitefield (Kadugodi),['Hopefarm Channasandra'],0.5
Vajrahalli,Silk Institute,['Thalaghattapura'],0.5
Madavara (BIEC),Manjunath Nagar,['Chikkabidarakallu'],0.5
Huskur Road,Bommasandra,['Hebbagodi'],0.5
Rajarajeshwari Nagar,Mysore Road,['Nayandahalli'],0.3333
Kuvempu Road,Sampige Road (Mantri Square),['Srirampura'],0.3333
Jayanagar,Ragigudda,['Rashtreeya Vidyalaya Road (RV Road)'],0.3333
Jayanagar,Banashankari,['Rashtreeya Vidyalaya Road (RV Road)'],0.3333
Lalbagh,Jayanagar,['South End Circle'],0.3333
National College,South End Circle,['Lalbagh'],0.3333
Krishna Rajendra Market,Lalbagh,['National College'],0.3333
Chickpete,National College,['Krishna Rajendra Market'],0.3333
Sampige Road (Mantri Square),Chickpete,['Nadaprabhu Kempegowda Station Majestic'],0.3333
Rajajinagar,Srirampura,['Kuvempu Road'],0.3333
Nagasandra,Jalahalli,['Dasarahalli'],0.3333
Mahalakshmi,Kuvempu Road,['Rajajinagar'],0.3333
Sandal Soap Factory,Rajajinagar,['Mahalakshmi'],0.3333
Yeshwanthpur,Mahalakshmi,['Sandal Soap Factory'],0.3333
Goraguntepalya,Sandal Soap Factory,['Yeshwanthpur'],0.3333
Peenya,Yeshwanthpur,['Goraguntepalya'],0.3333
Peenya Industry,Goraguntepalya,['Peenya'],0.3333
Jalahalli,Peenya,['Peenya Industry'],0.3333
Banashankari,Yelachenahalli,['Jaya Prakash Nagar (JP Nagar)'],0.3333
Banashankari,Ragigudda,['Rashtreeya Vidyalaya Road (RV Road)'],0.3333
Jaya Prakash Nagar (JP Nagar),Konanakunte Cross,['Yelachenahalli'],0.3333
Yelachenahalli,Doddakallasandra,['Konanakunte Cross'],0.3333
Infosys Foundation Konappana Agrahara,Hebbagodi,['Huskur Road'],0.3333
Electronic City,Huskur Road,['Infosys Foundation Konappana Agrahara'],0.3333
Beratena Agrahara,Infosys Foundation Konappana Agrahara,['Electronic City'],0.3333
Hosa Road,Electronic City,['Beratena Agrahara'],0.3333
Singasandra,Beratena Agrahara,['Hosa Road'],0.3333
Kudlu Gate,Hosa Road,['Singasandra'],0.3333
Hongasandra,Singasandra,['Kudlu Gate'],0.3333
Bommanahalli,Kudlu Gate,['Hongasandra'],0.3333
Central Silk Board,Hongasandra,['Bommanahalli'],0.3333
BTM Layout,Bommanahalli,['Central Silk Board'],0.3333
Jayadeva Hospital,Central Silk Board,['BTM Layout'],0.3333
