station,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank,clustering_coefficient,is_articulation_point,zone,lines,is_interchange
Rithala,1,0.004,0.0479,0.0,0.0001,0.0025,0,False,North West Delhi,Red Line,False
Rohini West,2,0.008,0.0503,0.008,0.0003,0.0045,0,True,North West Delhi,Red Line,False
Rohini East,2,0.008,0.0529,0.016,0.0008,0.0042,0,True,North West Delhi,Red Line,False
Pitampura,2,0.008,0.0558,0.0239,0.0016,0.004,0,True,North West Delhi,Red Line,False
Kohat Enclave,2,0.008,0.059,0.0317,0.0034,0.0037,0,True,North West Delhi,Red Line,False
Netaji Subhash Place,4,0.0161,0.0625,0.0885,0.0073,0.0067,0,True,North West Delhi,Red Line; Pink Line,True
Keshav Puram,2,0.008,0.0623,0.0297,0.0053,0.0035,0,False,North West Delhi,Red Line,False
Kanhaiya Nagar,2,0.008,0.0623,0.0302,0.0063,0.0035,0,False,North West Delhi,Red Line,False
Inderlok,3,0.012,0.0647,0.0863,0.0112,0.0051,0,False,North West Delhi,Red Line; Green Line,True
Shastri Nagar,2,0.008,0.0657,0.0709,0.0148,0.0036,0,False,North Delhi,Red Line,False
Pratap Nagar,2,0.008,0.0675,0.0742,0.0272,0.0037,0,False,North Delhi,Red Line,False
Pul Bangash,2,0.008,0.0696,0.0779,0.0557,0.0037,0,False,North Delhi,Red Line,False
Tis Hazari,2,0.008,0.0723,0.0822,0.1171,0.0035,0,False,North Delhi,Red Line,False
Kashmere Gate,5,0.0201,0.0757,0.2459,0.2478,0.008,0,False,Central Delhi,Red Line; Yellow Line; Violet Line,True
Shastri Park,2,0.008,0.0717,0.1411,0.123,0.0034,0,False,North East Delhi,Red Line,False
Seelampur,2,0.008,0.0688,0.1363,0.0709,0.0035,0,False,North East Delhi,Red Line,False
Welcome,4,0.0161,0.0666,0.1626,0.0607,0.0068,0,True,North East Delhi,Red Line; Pink Line,True
Shahdara,2,0.008,0.0628,0.0848,0.0287,0.0037,0,True,East Delhi,Red Line,False
Mansarovar Park,2,0.008,0.0594,0.0774,0.0135,0.0038,0,True,East Delhi,Red Line,False
Jhilmil,2,0.008,0.0563,0.07,0.0064,0.0039,0,True,East Delhi,Red Line,False
Dilshad Garden,2,0.008,0.0535,0.0624,0.003,0.004,0,True,East Delhi,Red Line,False
Shaheed Nagar,2,0.008,0.051,0.0549,0.0014,0.004,0,True,Ghaziabad,Red Line,False
Raj Bagh,2,0.008,0.0486,0.0472,0.0007,0.004,0,True,Ghaziabad,Red Line,False
Major Mohit Sharma,2,0.008,0.0465,0.0395,0.0003,0.0041,0,True,Ghaziabad,Red Line,False
Shyam Park,2,0.008,0.0445,0.0317,0.0001,0.0041,0,True,Ghaziabad,Red Line,False
Mohan Nagar,2,0.008,0.0426,0.0239,0.0001,0.0042,0,True,Ghaziabad,Red Line,False
Arthala,2,0.008,0.0409,0.016,0.0,0.0044,0,True,Ghaziabad,Red Line,False
Hindon River,2,0.008,0.0393,0.008,0.0,0.0046,0,True,Ghaziabad,Red Line,False
Shaheed Sthal,1,0.004,0.0378,0.0,0.0,0.0026,0,False,Ghaziabad,Red Line,False
Samaypur Badli,1,0.004,0.0469,0.0,0.0002,0.0025,0,False,North Delhi,Yellow Line,False
Rohini Sector 18,2,0.008,0.0492,0.008,0.0004,0.0046,0,True,North Delhi,Yellow Line,False
Haiderpur Badli Mor,2,0.008,0.0518,0.016,0.0009,0.0043,0,True,North Delhi,Yellow Line,False
Jahangirpuri,2,0.008,0.0545,0.0239,0.0019,0.004,0,True,North Delhi,Yellow Line,False
Adarsh Nagar,2,0.008,0.0576,0.0317,0.004,0.0038,0,True,North Delhi,Yellow Line,False
Azadpur,4,0.0161,0.061,0.0661,0.0084,0.0071,0,True,North Delhi,Yellow Line; Pink Line,True
Model Town,2,0.008,0.0614,0.0425,0.0085,0.0037,0,False,North Delhi,Yellow Line,False
Guru Tegh Bahadur Nagar,2,0.008,0.063,0.0454,0.0135,0.0038,0,False,North Delhi,Yellow Line,False
Vishwa Vidyalaya,2,0.008,0.0648,0.0494,0.0266,0.0038,0,False,North Delhi,Yellow Line,False
Vidhan Sabha,2,0.008,0.0678,0.0545,0.0554,0.0037,0,False,North Delhi,Yellow Line,False
Civil Lines,2,0.008,0.0712,0.0605,0.117,0.0035,0,False,North Delhi,Yellow Line,False
Chandni Chowk,2,0.008,0.0765,0.1337,0.1564,0.0034,0,False,Central Delhi,Yellow Line,False
Chawri Bazar,2,0.008,0.0784,0.1363,0.1575,0.0034,0,False,Central Delhi,Yellow Line,False
New Delhi,3,0.012,0.0807,0.1857,0.2518,0.0048,0,False,Central Delhi,Yellow Line; Airport Express Line,True
Rajiv Chowk,4,0.0161,0.0817,0.1822,0.3631,0.0062,0,False,Central Delhi,Yellow Line; Blue Line,True
Patel Chowk,2,0.008,0.0792,0.1034,0.2585,0.0033,0,False,Central Delhi,Yellow Line,False
Central Secretariat,4,0.0161,0.0794,0.1256,0.3068,0.0063,0,False,Central Delhi,Yellow Line; Violet Line,True
Udyog Bhawan,2,0.008,0.0755,0.0443,0.1495,0.0034,0,False,Central Delhi,Yellow Line,False
Lok Kalyan Marg,2,0.008,0.075,0.043,0.0808,0.0035,0,False,South Delhi,Yellow Line,False
Jor Bagh,2,0.008,0.0762,0.0449,0.0598,0.0035,0,False,South Delhi,Yellow Line,False
Dilli Haat - INA,4,0.0161,0.0793,0.2444,0.0741,0.0065,0,False,South Delhi,Yellow Line; Pink Line,True
AIIMS,2,0.008,0.0752,0.1497,0.0368,0.0035,0,False,South Delhi,Yellow Line,False
