id,name,latitude,longitude,zone,lines,line_count,is_interchange,footfall_tier
Rithala,Rithala,28.7208,77.1072,North West Delhi,Red Line,1,False,Standard
Rohini West,Rohini West,28.7147,77.1147,North West Delhi,Red Line,1,False,Standard
Rohini East,Rohini East,28.71,77.1264,North West Delhi,Red Line,1,False,Standard
Pitampura,Pitampura,28.7032,77.1352,North West Delhi,Red Line,1,False,Standard
Kohat Enclave,Kohat Enclave,28.6978,77.1432,North West Delhi,Red Line,1,False,Standard
Netaji Subhash Place,Netaji Subhash Place,28.6953,77.1525,North West Delhi,Red Line; Pink Line,2,True,High
Keshav Puram,Keshav Puram,28.6908,77.162,North West Delhi,Red Line,1,False,Standard
Kanhaiya Nagar,Kanhaiya Nagar,28.6835,77.1685,North West Delhi,Red Line,1,False,Standard
Inderlok,Inderlok,28.6738,77.1706,North West Delhi,Red Line; Green Line,2,True,High
Shastri Nagar,Shastri Nagar,28.6698,77.1818,North Delhi,Red Line,1,False,Standard
Pratap Nagar,Pratap Nagar,28.6672,77.1956,North Delhi,Red Line,1,False,Standard
Pul Bangash,Pul Bangash,28.6653,77.2036,North Delhi,Red Line,1,False,Standard
Tis Hazari,Tis Hazari,28.6668,77.2167,North Delhi,Red Line,1,False,Standard
Kashmere Gate,Kashmere Gate,28.6675,77.2285,Central Delhi,Red Line; Yellow Line; Violet Line,3,True,Mega Hub
Shastri Park,Shastri Park,28.6705,77.2505,North East Delhi,Red Line,1,False,Standard
Seelampur,Seelampur,28.6698,77.2662,North East Delhi,Red Line,1,False,Standard
Welcome,Welcome,28.6719,77.2776,North East Delhi,Red Line; Pink Line,2,True,High
Shahdara,Shahdara,28.6734,77.2894,East Delhi,Red Line,1,False,Standard
Mansarovar Park,Mansarovar Park,28.6792,77.3005,East Delhi,Red Line,1,False,Standard
Jhilmil,Jhilmil,28.6816,77.3117,East Delhi,Red Line,1,False,Standard
Dilshad Garden,Dilshad Garden,28.6761,77.3214,East Delhi,Red Line,1,False,Standard
